77132.9,1488,165,22.89
77137.98,1476,163,22.89
77143.05,1465,162,22.89
77148.12,1455,160,22.89
77153.19,1455,160,22.89
77158.26,1455,160,22.89
77163.33,1455,160,22.89
77168.4,1455,160,22.89
77173.47,1437,157,22.89
77178.53,1437,157,22.89
77183.6,1437,157,22.89
77188.67,1428,156,22.89
77193.74,1437,157,22.89
77198.81,1437,157,22.51
77203.88,1437,157,22.89
77208.95,1437,157,22.89
77214.02,1437,157,22.89
77219.09,1437,157,22.89
77224.16,1437,157,22.89
77229.23,1428,156,22.51
77234.3,1428,156,22.51
77239.38,1428,156,22.51
77244.45,1476,163,22.51
77249.51,1415,154,22.51
77254.58,1397,151,22.51
77259.65,1397,151,22.51
77264.72,1476,163,22.13
77269.79,1405,153,22.13
77274.86,1397,151,22.51
77279.94,1397,151,22.51
77285.01,1397,151,22.51
77290.07,1405,153,22.51
77295.14,1437,157,22.51
77300.21,1465,162,22.51
77305.28,1488,165,22.51
77310.35,1524,171,22.51
77315.42,1499,167,22.51
77320.49,1476,163,22.51
77325.56,1476,163,22.89
77330.63,1465,162,22.51
77335.7,1465,162,22.89
77340.77,1465,162,22.89
77345.84,1455,160,22.89
77350.91,1437,157,22.51
77355.98,1455,160,22.89
77361.05,1476,163,22.89
77366.13,1476,163,22.89
77371.2,1465,162,22.89
77376.26,1455,160,22.89
77381.33,1455,160,22.89
77386.4,1455,160,22.89
77391.47,1437,157,22.89
77396.54,1437,157,22.89
77401.61,1437,157,22.89
77406.68,1428,156,22.51
77411.75,1428,156,22.51
77416.82,1415,154,22.51
77421.88,1428,156,22.51
77426.95,1415,154,22.51
77432.03,1405,153,22.51
77437.1,1428,156,22.51
77442.17,1455,160,22.51
77447.24,1488,165,22.51
77452.31,1488,165,22.51
77457.38,1476,163,22.51
77462.45,1644,189,22.51
77467.52,1662,192,22.51
77472.59,1634,187,22.51
77477.66,1550,175,22.51
77482.73,1618,185,22.51
77487.8,1562,177,22.51
77492.87,1562,177,22.51
77497.94,1524,171,22.51
77503.01,1509,168,22.13
77508.08,1509,168,22.13
77513.15,1509,168,22.13
77518.22,2096,258,22.13
77523.29,2158,267,22.51
77528.36,1994,242,22.51
77533.42,1890,226,22.51
77538.49,1762,207,22.51
77543.56,1841,219,22.51
77548.64,1975,239,22.51
77553.71,1790,211,22.89
77558.78,1790,211,22.89
77563.85,1905,229,22.89
77568.92,1940,234,23.28
77573.99,2158,267,23.28
77579.06,1922,231,23.28
77584.21,2197,273,23.28
77589.28,2058,252,23.8
77594.35,2158,267,23.8
77599.42,2324,293,23.8
77604.49,2302,289,23.8
77609.56,2197,273,23.8
77614.63,2324,293,23.8
77619.7,2369,299,24.2
77624.77,2394,303,24.2
77629.84,2324,293,24.2
77634.91,2282,286,24.2
77639.98,2449,312,24.2
77645.05,2351,297,23.8
77650.12,2174,270,23.8
77655.2,2263,283,23.8
77660.27,2158,267,23.8
77665.33,2114,261,23.8
77670.4,2216,276,23.8
77675.47,2520,322,23.8
77680.54,2394,303,23.8
77685.61,2449,312,23.8
77690.68,2351,297,23.8
77695.75,2242,280,24.2
77700.82,2158,267,24.2
77705.89,2302,289,24.2
77710.95,2351,297,24.2
77716.02,2096,258,24.2
77721.09,2197,273,24.2
77726.16,2282,286,24.2
77731.23,2134,264,24.2
77736.3,2351,297,24.2
77741.38,2197,273,24.6
77746.45,2114,261,24.2
77751.52,2174,270,24.6
77756.59,2096,258,24.6
77761.66,2114,261,24.6
77766.73,2114,261,24.2
77771.8,2394,303,24.2
77776.87,2158,267,24.2
77781.94,2158,267,24.2
77787.01,2174,270,24.2
77792.08,2324,293,24.6
77797.15,2242,280,24.6
77802.22,2471,315,24.6
77807.29,2416,307,24.6
77812.36,2242,280,24.6
77817.43,2302,289,24.6
77822.49,4897,685,24.6
77827.56,3430,461,24.6
77832.63,6647,951,24.6
77837.7,4210,580,25
77842.77,2992,394,24.6
77847.84,2576,331,25
77852.91,2497,319,25
77857.98,2449,312,24.6
77863.05,3607,488,24.6
77868.13,2961,390,24.6
77873.2,2860,374,24.2
77878.27,2449,312,24.2
77883.34,2351,297,24.2
77888.41,2394,303,24.2
77893.48,2216,276,24.2
77898.55,2369,299,24.2
77903.62,2242,280,24.2
77908.69,2197,273,24.6
77913.76,2174,270,24.6
77918.83,2158,267,24.6
77923.9,2114,261,24.6
77928.97,2096,258,24.2
77934.04,2197,273,24.6
77939.11,2263,283,24.6
77944.18,2134,264,24.6
77949.25,2242,280,24.6
77954.32,2471,315,25
77959.39,2520,322,25
77964.46,2652,343,25
77969.53,2625,338,25
77974.6,2520,322,25
77979.67,2394,303,25
77984.73,2369,299,25
77989.8,2174,270,25
77994.88,2263,283,25
77999.95,2197,273,25
78005.02,2324,293,25
78010.09,2394,303,25
78015.16,2263,283,25.41
78020.23,2302,289,25.41
78025.3,2471,315,25
78030.37,2282,286,25
78035.43,2282,286,25.41
78040.5,2197,273,25.41
78045.57,2174,270,25
78050.65,2078,255,25
78055.72,2174,270,25.41
78060.79,2114,261,25.41
78065.86,2263,283,25
78070.93,2078,255,25
78076,2096,258,25
78081.07,2027,247,25
78086.14,2058,252,25
78091.21,2134,264,25
78096.28,2078,255,25
78101.35,2015,246,25
78106.42,1940,234,25
78111.49,2263,283,25
78116.56,2216,276,25
78121.63,2302,289,25
78126.7,2216,276,25
78131.77,2134,264,25
78136.84,1940,234,25.41
78141.91,1922,231,25.41
78146.98,2078,255,25.41
78152.05,2015,246,25.41
78157.12,2302,289,25.41
78162.19,2263,283,25.41
78167.26,2134,264,25.41
