Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
5.54,0,0,25.97
,Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
953.59,497,14,18.29
958.66,500,15,18.29
963.73,497,14,18.29
968.80,500,15,17.95
973.87,476,11,18.29
978.94,482,12,17.95
984.01,1316,139,18.29
989.08,2618,337,18.29
994.15,3535,477,18.75
999.22,2937,386,18.75
1004.29,1083,104,18.75
1009.36,798,60,18.29
1014.43,717,48,18.29
1019.49,683,43,18.29
1024.56,746,52,18.29
1029.63,1413,154,18.29
1034.70,778,57,18.29
1039.77,742,52,18.29
1044.84,940,82,18.29
1049.91,763,55,18.29
1054.98,626,34,18.29
1060.05,618,33,18.29
1065.11,556,23,18.29
1070.19,728,49,18.29
1075.25,580,27,17.95
1080.32,531,19,17.95
1085.39,515,17,17.95
1090.46,497,14,17.95
1095.53,970,86,17.95
1100.60,631,35,17.95
1105.67,543,21,17.95
1110.74,515,17,17.95
1115.81,735,51,17.95
1120.88,897,75,17.61
1125.95,569,25,17.61
1131.02,524,18,17.61
1136.09,503,15,17.61
1141.16,569,25,17.61
1146.23,551,23,17.61
1151.30,798,60,17.61
1156.37,6610,946,17.95
1161.44,952,84,17.95
1166.51,786,58,17.95
1171.58,700,45,17.95
1176.65,2024,247,17.95
1181.71,1373,148,17.95
1186.79,855,69,17.95
1191.85,705,46,17.95
1196.92,692,44,17.95
1201.99,1037,97,17.95
1207.06,4303,594,18.29
1212.13,5065,710,18.29
1217.20,5399,761,18.75
1222.27,3995,547,18.75
1227.34,4840,676,18.75
1232.41,1163,116,18.75
1237.48,998,91,18.75
1242.55,899,76,18.29
1247.62,813,62,18.29
1252.69,780,57,18.29
1257.76,727,49,18.29
1262.83,687,43,18.29
1267.90,664,40,18.29
1272.97,1432,157,18.29
1278.04,687,43,17.95
1283.11,637,36,17.95
1288.18,597,30,17.95
1293.25,565,25,17.95
1298.32,557,23,17.95
1303.39,565,25,17.95
1308.45,553,23,17.95
1313.52,548,22,17.95
1318.59,1410,153,17.95
1323.66,592,29,17.95
1328.73,603,30,17.95
1333.80,1381,149,18.29
1338.87,2160,268,18.29
1343.94,3670,498,18.29
1349.01,1315,139,18.29
1354.08,871,71,17.95
1359.15,780,57,17.95
1364.22,727,49,17.95
1369.29,679,42,17.95
1374.35,649,37,17.95
1379.43,620,33,17.95
1384.50,597,30,17.95
1389.57,567,25,17.61
1394.64,565,25,17.61
1399.70,553,23,17.61
1404.78,538,21,17.61
1409.84,535,20,17.61
1414.91,520,18,17.61
1419.98,508,16,17.61
1425.06,502,15,17.61
1430.13,520,18,17.61
1435.20,520,18,17.95
1440.27,972,87,17.95
1445.34,1732,202,17.95
1450.41,899,76,17.95
1455.47,1229,126,17.95
1460.54,687,43,17.95
1465.61,1239,127,17.95
1470.68,855,69,17.61
1475.75,764,55,17.61
1480.82,668,40,17.61
1485.89,1410,153,17.61
1490.96,2900,380,17.95
1496.04,2987,394,17.95
1501.10,1014,93,17.95
1506.18,871,71,17.95
1511.24,1397,151,17.95
1516.31,4702,655,18.29
1521.38,5561,786,18.29
1526.45,4492,623,18.75
1531.52,6436,919,18.75
1536.59,2445,311,18.75
1541.66,1640,188,18.75
1546.73,1711,199,18.75
1551.80,2359,298,19.10
1556.87,2272,285,19.10
1561.94,1785,210,19.10
1567.01,1499,167,19.10
1572.08,1530,172,19.10
1577.15,3720,505,19.10
1582.22,4419,612,19.10
1587.30,2777,362,19.10
1592.37,1753,206,19.45
1597.44,2072,254,19.10
1602.51,1819,216,19.10
1607.58,4419,612,19.10
1612.65,4547,631,19.45
1617.72,4743,661,19.45
1622.79,6344,905,19.10
1627.86,2537,325,19.10
1632.93,1600,182,18.75
1638.00,1835,218,18.29
1643.07,941,82,18.29
1648.14,882,73,18.29
1653.21,855,69,18.29
1658.28,795,60,18.29
1663.35,838,66,18.29
1668.42,754,53,18.29
1673.49,741,51,18.29
1678.56,700,45,18.29
1683.63,681,42,18.29
1688.70,787,58,18.29
1693.77,1769,208,18.75
1698.84,767,55,18.29
1703.91,669,40,18.29
1708.98,643,37,18.29
1714.05,763,55,18.29
1719.12,2189,272,18.75
1724.19,1245,128,18.29
1729.26,774,56,18.29
1734.33,711,47,18.29
1739.40,675,41,18.29
1744.47,656,39,18.29
1749.55,650,38,18.29
1754.61,675,41,18.29
1759.69,696,45,18.29
1764.76,974,87,18.29
1769.82,665,40,18.29
1774.90,606,31,18.29
1779.96,590,28,18.29
1785.04,552,23,18.29
1790.11,542,21,17.95
1795.18,534,20,18.29
1800.25,529,19,17.95
1805.32,523,18,17.95
1810.39,508,16,17.95
1815.46,505,15,17.95
1820.53,495,14,17.95
1825.60,490,13,17.61
1830.67,486,13,17.61
1835.74,486,13,17.95
1840.81,483,12,17.95
1845.88,478,11,17.61
1850.95,483,12,17.61
1856.02,486,13,17.95
1861.09,483,12,17.95
1866.16,483,12,17.95
1871.23,889,74,17.95
1876.30,749,53,17.95
1881.37,561,24,17.95
1886.44,538,21,17.95
1891.51,538,21,17.95
1896.58,774,56,17.95
1901.65,552,23,17.95
1906.72,1282,134,17.95
1911.79,897,75,17.95
1916.86,1658,191,18.29
1921.93,2669,345,18.29
1927.00,1413,154,18.29
1932.07,1872,224,18.29
1937.14,3038,401,18.75
1942.21,1640,188,18.29
1947.29,1172,117,18.29
1952.36,2962,390,18.29
1957.43,4218,581,18.75
1962.50,3372,452,18.75
1967.57,1245,128,18.75
1972.64,1004,92,18.75
1977.71,838,66,18.29
1982.78,817,63,18.29
1987.85,774,56,18.29
1992.92,795,60,18.29
1997.99,681,42,18.29
2003.06,656,39,17.95
2008.13,650,38,17.95
2013.20,617,33,17.95
2018.27,590,28,17.95
2023.34,630,35,17.95
2028.41,1970,239,17.95
2033.48,1195,121,17.95
2038.55,1400,152,17.95
2043.62,2300,289,17.95
2048.69,2033,248,17.95
2053.76,1045,98,17.95
2058.83,1172,117,17.95
2063.91,2537,325,17.95
2068.98,2033,248,17.95
2074.05,1625,186,17.95
2079.12,960,85,17.95
2084.19,806,61,17.61
2089.26,763,55,17.61
2094.33,735,51,17.61
2099.40,763,55,17.27
2104.47,706,46,17.27
2109.54,669,40,17.27
2114.61,650,38,17.27
2119.68,606,31,17.27
2124.75,594,29,17.27
2129.82,590,28,17.27
2134.89,575,26,17.27
2139.96,554,23,17.27
2145.03,575,26,17.27
2150.10,578,27,17.61
2155.17,594,29,17.61
2160.24,571,26,17.61
2165.31,561,24,17.61
2170.38,561,24,17.27
2175.45,575,26,17.27
2180.52,561,24,17.27
2185.59,565,25,17.27
