Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
5.54,0,0,25.97
,Test
Time (s) ,CO2 (ppm) ,TVOC (ppb) ,Temperature (C) 
14759.34,2598,334,19.10
14764.41,2812,367,19.10
14769.48,3038,401,19.45
14774.55,2702,350,19.45
14779.62,2513,321,19.45
14784.70,2882,378,19.45
14789.77,2537,325,19.45
14794.84,2483,317,19.45
14799.91,2272,285,19.45
14804.98,2114,261,19.10
14810.05,1970,239,19.45
14815.13,1925,232,19.10
14820.20,1835,218,19.10
14825.27,1835,218,19.10
14830.34,1897,228,19.10
14835.42,2388,302,19.10
14840.49,1897,228,19.10
14845.56,1854,221,19.10
14850.63,1819,216,19.10
14855.70,1753,206,19.10
14860.77,1854,221,19.10
14865.84,1711,199,19.10
14870.91,3828,522,19.10
14875.99,4347,601,19.10
14881.06,2962,390,19.10
14886.13,2445,311,19.45
14891.20,2140,265,19.10
14896.27,1944,235,19.45
14901.34,2189,272,19.10
14906.42,1897,228,19.10
14911.49,1819,216,19.45
14916.57,2140,265,19.10
14921.64,2253,282,19.10
14926.71,2072,254,19.10
14931.78,2009,245,19.10
14936.86,2094,258,19.10
14941.93,1872,224,19.10
14947.00,2272,285,19.10
14952.07,2114,261,19.10
14957.14,2033,248,19.10
14962.21,1854,221,19.10
14967.29,1769,208,19.10
14972.36,1553,175,18.75
14977.43,1694,197,18.29
14982.50,2009,245,18.75
14987.57,2962,390,18.75
14992.64,3243,433,18.75
14997.72,3243,433,18.75
15002.79,3161,420,19.10
15007.86,3372,452,19.10
15012.93,3482,469,19.10
15018.00,4826,674,19.10
15023.08,3791,516,19.45
15028.15,4218,581,19.45
15033.22,4688,653,19.45
15038.29,6231,888,19.80
15043.37,3116,413,19.80
15048.44,3209,427,19.80
15053.51,3625,491,19.80
15058.59,4290,592,19.80
15063.66,4547,631,19.80
15068.73,3992,547,20.16
15073.80,2919,383,19.80
15078.87,3482,469,19.80
15083.95,3331,446,20.16
15089.02,2991,394,20.16
15094.09,3720,505,20.16
15099.16,3625,491,20.16
15104.23,4114,565,20.16
15109.31,5499,776,20.52
15114.38,3992,547,20.52
15119.45,4688,653,20.52
15124.52,4743,661,20.52
15129.59,5572,787,20.52
15134.67,5572,787,20.52
15139.74,5050,708,20.52
15144.81,5499,776,20.89
15149.88,4688,653,20.89
15154.95,4688,653,20.89
15160.03,5287,744,20.89
15165.10,4826,674,20.89
15170.17,5940,843,20.89
15175.24,7462,1075,21.38
15180.31,6049,860,21.38
15185.38,3720,505,21.38
15190.45,3331,446,21.38
15195.53,3116,413,20.89
15200.60,3372,452,20.89
15205.67,4114,565,20.89
15210.74,3625,491,20.89
15215.82,2669,345,20.89
15220.89,2839,371,20.89
15225.96,2420,307,20.89
15231.03,2189,272,20.89
15236.11,2033,248,20.89
15241.18,2140,265,20.52
15246.25,2336,294,20.52
15251.32,1970,239,20.52
15256.39,1970,239,20.52
15261.47,2388,302,20.52
15266.54,2033,248,20.52
15271.61,2208,275,20.52
15276.68,2882,378,20.52
15281.75,2033,248,20.52
15286.83,2336,294,20.52
15291.90,1970,239,20.52
15296.97,2445,311,20.52
15302.04,2033,248,20.52
15307.11,1872,224,20.52
15312.18,1731,202,20.16
15317.25,1711,199,20.16
15322.33,1678,194,20.16
15327.40,1678,194,20.16
15332.47,1640,188,20.16
15337.54,1658,191,20.16
15342.62,1678,194,20.16
15347.69,2208,275,20.16
15352.76,2537,325,20.16
15357.83,2094,258,20.16
15362.90,2388,302,20.16
15367.98,2882,378,20.16
15373.05,2919,383,20.52
15378.12,3515,474,20.52
15383.20,4114,565,20.52
15388.27,2669,345,20.52
15393.34,2513,321,20.52
15398.41,2882,378,20.52
15403.49,2919,383,20.52
15408.56,2569,330,20.52
15413.63,2272,285,20.52
15418.70,2300,289,20.52
15423.77,2336,294,20.16
15428.84,1970,239,20.16
15433.92,2483,317,20.16
15438.99,2669,345,20.16
15444.06,2445,311,20.16
15449.13,2253,282,20.16
15454.20,2962,390,20.52
15459.28,3083,408,20.52
15464.35,2669,345,20.16
15469.42,2272,285,20.16
15474.49,4547,631,20.52
15479.56,3720,505,20.52
15484.63,3674,498,20.52
15489.70,2919,383,20.52
15494.78,2598,334,20.52
15499.85,2388,302,20.52
15504.92,2537,325,20.52
15509.99,2253,282,20.16
15515.06,2072,254,20.16
15520.13,1925,232,20.16
15525.21,2114,261,20.16
15530.28,1990,242,20.16
15535.35,1785,210,19.80
15540.42,1753,206,19.80
15545.49,2669,345,19.80
15550.57,3515,474,20.16
15555.64,4166,573,20.16
15560.71,3038,401,20.16
15565.78,2189,272,20.16
15570.86,2741,356,19.80
15575.93,2094,258,19.80
15581.00,2702,350,19.80
15586.07,4166,573,19.80
15591.14,2702,350,19.80
15596.21,2669,345,20.16
15601.29,3083,408,19.80
15606.36,3828,522,19.80
15611.43,2598,334,19.80
15616.50,2300,289,19.80
15621.58,2359,298,19.80
15626.65,2208,275,19.80
15631.72,2336,294,19.80
15636.79,2445,311,19.80
15641.86,2569,330,19.80
15646.94,2420,307,19.80
15652.01,2140,265,19.80
15657.08,2513,321,19.80
15662.16,2336,294,19.80
15667.23,2072,254,19.80
15672.30,2009,245,19.80
15677.38,1854,221,19.80
15682.45,1835,218,19.45
15687.52,2114,261,19.45
15692.60,1819,216,19.45
15697.67,1925,232,19.45
15702.74,1835,218,19.45
15707.81,2336,294,19.45
15712.89,2669,345,19.45
15717.96,2598,334,19.80
15723.03,3161,420,19.80
15728.10,3116,413,19.45
15733.17,2669,345,19.80
15738.25,2812,367,19.80
15743.32,3674,498,19.80
15748.39,2702,350,19.80
15753.46,2359,298,19.80
15758.54,2272,285,19.80
15763.61,2569,330,19.80
15768.68,2300,289,19.45
15773.76,2168,269,19.45
15778.83,2140,265,19.80
15783.90,2839,371,19.80
15788.97,2962,390,19.80
15794.05,3161,420,19.80
15799.12,4419,612,19.80
15804.19,3625,491,20.16
15809.26,3331,446,20.16
15814.34,2919,383,20.16
15819.41,3116,413,20.16
15824.48,4479,621,20.16
15829.56,2882,378,20.16
15834.63,2445,311,20.16
15839.71,2812,367,20.16
15844.78,2991,394,20.16
15849.85,3209,427,20.16
15854.92,3083,408,20.16
15860.00,2741,356,20.16
15865.07,2513,321,20.16
15870.14,2882,378,20.16
15875.22,3038,401,20.16
15880.29,3674,498,20.16
15885.36,2598,334,20.16
15890.43,2388,302,20.16
15895.50,2336,294,19.80
15900.58,2114,261,19.80
15905.65,2168,269,19.80
15910.72,2140,265,19.80
15915.79,2598,334,19.80
15920.87,2336,294,19.80
15925.94,2991,394,19.80
15931.01,2812,367,19.80
15936.09,2537,325,19.80
15941.16,2272,285,19.80
15946.23,2359,298,19.80
15951.30,2537,325,19.80
15956.37,2919,383,19.80
15961.45,2702,350,19.80
15966.52,3515,474,19.80
15971.60,2812,367,19.80
15976.67,3515,474,20.16
15981.75,4479,621,20.16
15986.82,3290,440,20.16
15991.89,2420,307,19.80
15996.96,2300,289,19.45
16002.04,2359,298,19.45
16007.11,2208,275,19.45
16012.18,2300,289,19.45
16017.25,2094,258,19.45
16022.33,2114,261,19.45
16027.40,2300,289,19.80
16032.47,2741,356,19.45
16037.54,2272,285,19.80
16042.62,2388,302,19.80
16047.69,2208,275,19.80
16052.76,2569,330,19.80
16057.83,2919,383,19.80
16062.91,2537,325,20.16
16067.98,2300,289,20.16
16073.05,2537,325,19.80
16078.13,2513,321,19.80
16083.20,2208,275,19.80
16088.27,2253,282,19.80
16093.35,2114,261,19.80
16098.42,2991,394,19.80
16103.49,3038,401,19.80
16108.56,2569,330,19.80
16113.63,2483,317,19.80
16118.71,2300,289,19.80
16123.78,2140,265,19.45
16128.85,2094,258,19.10
16133.93,2033,248,19.10
16139.00,1990,242,19.10
16144.08,1944,235,19.10
16149.15,1925,232,19.10
16154.22,1925,232,19.10
16159.29,2140,265,19.10
16164.37,3625,491,19.45
16169.44,3674,498,19.45
16174.52,4547,631,19.45
16179.59,4893,684,19.80
16184.66,4166,573,19.80
16189.73,5207,732,19.80
16194.81,5363,756,19.80
16199.88,7985,1155,20.16
16204.95,5363,756,20.16
16210.02,4479,621,20.16
16215.10,3875,529,20.16
16220.17,3515,474,20.16
16225.24,3720,505,20.16
16230.32,3243,433,20.16
16235.39,4609,641,20.16
16240.46,5287,744,20.16
16245.53,3482,469,20.16
16250.60,4114,565,20.16
16255.75,4743,661,20.52
16260.82,3828,522,20.52
16265.89,3290,440,20.52
16270.96,3038,401,20.52
16276.04,3941,539,20.52
16281.11,3875,529,20.52
16286.19,3515,474,20.52
16291.26,4218,581,20.52
16296.34,4419,612,20.52
16301.41,3372,452,20.52
16306.48,2962,390,20.52
16311.55,2919,383,20.16
16316.70,2669,345,20.52
16321.77,3243,433,20.16
16326.84,3625,491,20.52
16331.91,2669,345,20.16
16336.99,2882,378,20.52
16342.06,3290,440,20.16
16347.13,2839,371,20.16
16352.20,2537,325,20.16
16357.27,2445,311,20.16
16362.34,2336,294,20.16
16367.42,2569,330,20.16
16372.49,2388,302,20.16
16377.59,2388,302,20.16
16382.67,2669,345,19.80
16387.74,2537,325,20.16
16392.81,3290,440,20.16
16397.88,2777,362,20.16
16402.95,4290,592,20.16
16408.02,4114,565,20.16
16413.09,3720,505,20.16
16418.16,4347,601,20.52
16423.24,5363,756,20.52
16428.31,5499,776,20.52
16433.38,4988,698,20.52
16438.45,3372,452,20.52
16443.52,3083,408,20.52
16448.60,2991,394,20.52
16453.67,3563,481,20.52
16458.74,3515,474,20.52
16463.81,4347,601,20.52
16468.88,4218,581,20.52
16473.96,4826,674,20.52
16479.03,3515,474,20.52
16484.10,2991,394,20.52
16489.17,3209,427,20.52
16494.24,3625,491,20.52
16499.32,5940,843,20.52
16504.39,3992,547,20.52
16509.46,3482,469,20.52
16514.53,3161,420,20.52
16519.60,3372,452,20.52
16524.67,3515,474,20.52
16529.74,2839,371,20.52
16534.81,3372,452,20.52
16539.88,3720,505,20.52
16544.96,3290,440,20.52
16550.03,2640,341,20.52
16555.10,2962,390,20.52
16560.17,3875,529,20.52
16565.24,3161,420,20.52
16570.31,3116,413,20.89
16575.38,3563,481,20.89
16580.46,2991,394,20.52
16585.53,2513,321,20.52
16590.60,2300,289,20.52
16595.67,2140,265,20.16
16600.75,2114,261,20.16
16605.82,2114,261,20.16
16610.89,2072,254,20.52
16615.96,2919,383,20.52
16621.04,2445,311,20.16
16626.11,2272,285,19.80
16631.18,1990,242,19.80
16636.25,2420,307,19.80
16641.32,3720,505,19.80
16646.39,2839,371,19.80
16651.46,3083,408,19.80
16656.54,2702,350,19.80
16661.61,3482,469,19.80
16666.68,2359,298,19.80
16671.75,2669,345,19.80
16676.82,2253,282,19.80
16681.89,2300,289,19.80
16686.97,3209,427,19.80
16692.04,3791,516,19.80
16697.11,2669,345,19.80
16702.18,2253,282,19.80
16707.26,2388,302,19.80
16712.33,2359,298,19.80
16717.40,3083,408,19.80
16722.47,2991,394,19.80
16727.54,2483,317,19.80
16732.61,2420,307,19.80
16737.68,3161,420,19.80
16742.76,3625,491,20.16
16747.83,3941,539,20.16
16752.90,3941,539,20.16
16757.98,2812,367,20.16
16763.05,2420,307,20.16
16768.12,2300,289,20.16
16773.19,2253,282,19.80
16778.26,2445,311,19.80
16783.34,2777,362,20.16
16788.41,3161,420,20.16
16793.48,2272,285,19.80
16798.55,2272,285,19.80
16803.62,2359,298,20.16
16808.69,2114,261,20.16
16813.76,3161,420,20.16
16818.84,3116,413,20.16
16823.91,4419,612,20.16
16828.98,5131,720,20.16
16834.05,4218,581,20.16
16839.12,4044,555,20.52
16844.19,4166,573,20.52
16849.27,2962,390,20.16
16854.34,2598,334,20.16
16859.41,2388,302,20.16
16864.48,2359,298,20.16
16869.55,2598,334,20.16
16874.62,2359,298,20.16
16879.70,2140,265,20.16
16884.77,2168,269,20.16
16889.84,2359,298,20.16
16894.91,2839,371,20.16
16899.99,3674,498,20.16
16905.06,5050,708,20.52
16910.13,4044,555,20.52
16915.21,5287,744,20.52
16920.28,3515,474,20.52
16925.35,4218,581,20.52
16930.42,4609,641,20.52
16935.49,4893,684,20.52
16940.57,5572,787,20.52
16945.64,4547,631,20.52
16950.71,3625,491,20.52
16955.78,3875,529,20.52
16960.85,2777,362,20.16
16965.93,2598,334,20.16
16971.00,2839,371,20.16
16976.07,2445,311,19.80
16981.14,2483,317,19.80
16986.21,3209,427,19.80
16991.29,2812,367,19.80
16996.36,2253,282,19.80
17001.43,2140,265,19.80
17006.50,2033,248,19.80
17011.58,1970,239,19.80
17016.65,3083,408,19.80
17021.72,2777,362,19.80
17026.79,2445,311,19.80
17031.86,2140,265,19.80
17036.94,2094,258,19.80
17042.01,3243,433,20.16
17047.08,3828,522,20.16
17052.15,2640,341,20.16
17057.22,2669,345,19.80
17062.30,3941,539,19.80
17067.37,5207,732,20.16
17072.45,3720,505,20.16
17077.52,4479,621,20.16
17082.59,5050,708,20.16
17087.66,3116,413,20.16
17092.73,3720,505,20.16
17097.81,4688,653,20.16
17102.88,4218,581,20.16
17107.95,4290,592,20.52
17113.02,3720,505,20.52
17118.10,4609,641,20.52
17123.17,5050,708,20.52
17128.24,5050,708,20.52
17133.31,7099,1020,20.52
17138.38,7099,1020,20.52
17143.45,7462,1075,20.52
17148.52,5572,787,20.52
17153.60,5409,763,20.52
17158.67,3482,469,20.52
17163.74,3243,433,20.52
17168.81,2777,362,20.52
17173.88,2669,345,20.16
17178.95,2640,341,20.52
17184.02,3209,427,20.52
17189.10,3875,529,20.52
17194.17,6436,919,20.52
17199.24,5363,756,20.52
17204.31,3674,498,20.52
17209.38,5101,716,20.52
17214.46,4254,587,20.89
17219.53,7847,1134,20.89
17224.61,7461,1075,20.89
17229.68,2953,388,20.52
17234.75,3741,508,20.89
17239.82,4440,615,20.89
17244.89,3887,531,20.89
17249.96,2908,382,20.89
17255.03,2765,360,20.52
17260.11,2571,330,20.52
17265.18,2908,382,20.52
17270.25,2953,388,20.52
17275.32,2363,299,20.52
17280.39,2222,277,20.52
17285.46,3315,444,20.52
17290.53,3362,451,20.52
17295.61,3549,479,20.89
17300.68,3143,417,20.52
17305.75,2874,376,20.52
17310.82,2506,320,20.52
17315.89,1955,236,20.52
17320.96,1802,213,20.52
17326.04,1762,207,20.52
17331.11,2794,364,20.52
17336.18,7985,1155,20.52
17341.25,4018,551,20.52
17346.32,5343,753,20.52
17351.39,5430,766,20.89
17356.46,7992,1156,20.89
17361.53,6291,897,20.89
17366.61,4648,647,20.89
17371.68,4178,575,20.89
17376.75,5810,824,20.89
17381.83,7730,1116,20.89
17386.90,6177,880,20.89
17391.97,5723,810,20.89
17397.04,4992,699,20.89
17402.11,3055,404,20.89
17407.18,2724,354,20.89
17412.26,2975,392,20.89
17417.34,3249,434,20.89
17422.41,2942,387,20.89
17427.48,3249,434,20.89
17432.55,2699,350,20.89
17437.62,2483,317,20.89
17442.70,2571,330,20.89
17447.77,2514,322,20.89
17452.84,3055,404,20.89
17457.91,2975,392,20.89
17462.98,3959,542,20.89
17468.05,2864,375,20.52
17473.12,2311,291,20.89
17478.20,2140,265,20.89
17483.27,2344,296,20.89
17488.34,2022,247,20.89
17493.41,1958,237,20.89
17498.48,1899,228,20.89
17503.55,1899,228,20.89
17508.63,1851,221,20.89
17513.70,1777,209,20.89
17518.77,1791,211,20.52
17523.85,1791,211,20.89
17528.92,1791,211,20.52
17533.99,1740,204,20.52
17539.06,1489,165,20.52
17544.14,1430,156,20.52
17549.21,1378,148,20.52
17554.28,1402,152,20.52
17559.35,1501,167,20.52
17564.42,1584,180,20.52
17569.49,2162,268,20.52
17574.56,2483,317,20.52
17579.64,2537,325,20.52
17584.71,2483,317,20.52
17589.78,3710,504,20.52
17594.85,2537,325,20.52
17599.92,2395,303,20.52
17604.99,2395,303,20.52
17610.06,2216,276,20.52
17615.14,2344,296,20.52
17620.21,2834,370,20.52
17625.28,4042,554,20.52
17630.36,2699,350,20.52
17635.43,2598,334,20.52
17640.50,4517,627,20.52
17645.57,3128,415,20.52
17650.64,2074,255,20.52
17655.71,2022,247,20.52
17660.79,3092,410,20.52
17665.86,3021,399,20.89
17670.93,3607,488,20.52
17676.01,4712,656,20.89
17681.08,3372,452,20.89
17686.15,4286,592,20.89
17691.22,5070,711,20.89
17696.29,5907,838,20.89
17701.37,4470,620,20.89
17706.44,5630,796,20.89
17711.51,4402,609,21.38
17716.58,5383,759,21.38
17721.65,5997,852,21.38
17726.72,4517,627,21.38
17731.79,2799,365,21.38
17736.86,2628,339,21.38
17741.94,3055,404,21.38
17747.01,5383,759,21.38
17752.08,5997,852,21.38
17757.15,4992,699,21.38
17762.22,7454,1074,21.75
17767.29,5540,783,21.38
17772.36,3287,439,21.75
17777.44,3906,534,21.38
17782.51,3752,510,21.38
17787.58,5070,711,21.75
17792.65,5152,723,21.75
17797.72,6467,924,21.75
17802.79,3959,542,21.75
17807.87,5540,783,21.75
17812.94,2864,375,21.75
17818.01,3128,415,21.75
17823.08,3906,534,21.75
17828.15,3055,404,21.75
17833.23,2216,276,21.75
17838.31,2140,265,21.38
17843.38,1975,239,21.38
17848.45,1808,214,21.38
17853.52,1740,204,20.89
17858.59,1723,201,20.89
17863.66,1808,214,20.89
17868.74,1635,188,20.89
17873.81,1604,183,20.52
17878.88,1525,171,20.52
17883.95,2311,291,20.52
17889.02,2760,359,20.52
17894.10,3984,546,20.52
17899.17,4402,609,20.89
17904.24,5222,734,20.89
17909.31,3959,542,20.89
17914.38,2291,288,20.89
17919.45,1958,237,20.89
17924.52,2122,262,20.89
17929.60,2022,247,20.89
17934.67,1872,224,20.89
17939.74,1706,198,20.89
17944.81,1916,230,20.89
17949.88,2666,345,20.89
17954.96,2628,339,20.89
17960.03,1975,239,20.89
17965.10,2022,247,20.89
17970.17,1666,192,20.89
17975.24,1565,177,20.89
17980.31,1489,165,20.89
17985.39,1618,185,20.89
17990.46,1460,161,20.89
17995.53,1402,152,20.52
18000.60,1378,148,20.89
18005.68,1359,146,20.89
18010.75,1348,144,20.89
18015.82,1337,142,20.52
18020.89,1584,180,20.52
18025.96,1418,155,20.52
18031.03,1323,140,20.52
18036.10,1489,165,20.52
18041.18,1899,228,20.52
18046.25,2724,354,20.52
18051.32,2799,365,20.52
18056.39,1635,188,20.52
18061.46,1525,171,20.52
18066.54,1975,239,20.52
18071.61,1565,177,20.52
18076.68,1666,192,20.52
18081.75,1604,183,20.52
18086.82,1475,163,20.89
18091.89,1443,158,20.89
18096.96,1936,234,20.52
18102.04,1835,218,20.52
18107.11,2598,334,20.52
18112.18,2628,339,20.89
18117.25,1936,234,20.52
18122.32,1618,185,20.52
18127.39,1872,224,20.52
18132.46,1758,206,20.52
18137.54,1618,185,20.52
18142.62,1525,171,20.52
18147.69,1851,221,20.52
18152.76,1936,234,20.52
18157.83,2291,288,20.52
18162.90,1851,221,20.52
18167.97,1635,188,20.52
18173.04,2162,268,20.52
18178.12,2040,249,20.52
18183.19,1975,239,20.52
18188.26,2483,317,20.52
18193.33,3906,534,20.52
18198.40,2483,317,20.52
18203.47,2514,322,20.52
18208.54,2074,255,20.52
18213.62,1740,204,20.52
18218.69,1791,211,20.52
18223.76,2140,265,20.52
18228.83,2291,288,20.52
18233.90,2452,312,20.89
18238.97,2699,350,20.89
18244.05,3249,434,20.89
18249.12,3021,399,20.89
18254.19,2666,345,20.89
18259.26,2628,339,21.38
18264.34,2427,308,21.38
18269.41,3337,447,21.38
18274.48,4102,563,21.38
18279.55,3607,488,21.38
18284.62,2242,280,21.38
18289.70,1936,234,21.38
18294.77,1872,224,21.38
18299.84,1791,211,21.38
18304.92,2122,262,21.38
18309.99,2834,370,21.38
18315.06,2628,339,21.38
18320.13,3372,452,21.75
18325.20,2628,339,21.38
18330.27,2452,312,21.38
18335.35,2598,334,21.75
18340.42,1872,224,21.38
18345.49,1936,234,21.38
18350.56,1684,195,21.38
18355.64,2040,249,21.38
18360.71,2514,322,21.38
18365.78,2598,334,21.38
18370.85,2666,345,21.38
18375.92,3752,510,21.75
18380.99,3803,518,21.75
18386.07,2483,317,21.75
18391.14,2291,288,21.75
18396.21,1851,221,21.38
18401.28,1835,218,21.38
18406.35,1723,201,21.38
18411.43,1635,188,21.38
18416.50,1808,214,21.38
18421.57,1872,224,21.38
18426.64,2242,280,21.38
18431.71,2483,317,20.89
18436.78,1706,198,20.89
18441.85,1525,171,20.89
18446.93,1552,175,20.89
18452.00,1525,171,20.89
18457.07,1723,201,20.89
18462.15,2261,283,20.89
18467.22,1565,177,20.89
18472.29,2074,255,20.89
18477.36,1684,195,20.89
18482.43,1552,175,20.52
18487.51,1475,163,20.52
18492.58,1525,171,20.52
18497.65,1489,165,20.89
18502.72,1565,177,20.89
18507.79,1706,198,20.89
18512.86,1872,224,20.89
18517.93,3200,426,20.89
18523.01,2311,291,20.89
18528.08,1740,204,20.52
18533.15,1740,204,20.52
18538.22,1652,190,20.52
18543.29,3055,404,20.89
18548.36,4712,656,20.89
18553.43,3906,534,20.89
18558.51,4940,691,21.38
18563.58,4402,609,21.38
18568.65,3959,542,21.38
18573.72,4042,554,21.75
18578.79,3055,404,21.38
18583.87,2699,350,21.75
18588.94,2724,354,21.75
18594.01,3092,410,21.75
18599.09,2483,317,21.75
18604.16,2628,339,21.75
18609.23,2140,265,21.75
18614.30,2040,249,21.75
18619.37,1975,239,21.75
18624.45,2074,255,21.75
18629.52,2090,257,21.38
18634.59,1851,221,21.38
18639.66,3128,415,21.38
18644.73,2760,359,21.38
18649.80,2216,276,21.38
18654.88,2122,262,21.38
18659.95,2942,387,21.38
18665.02,2571,330,21.38
18670.09,2311,291,21.38
18675.16,2724,354,21.38
18680.24,2090,257,21.38
18685.31,1808,214,21.38
18690.38,1723,201,21.38
18695.45,1740,204,21.38
18700.52,1936,234,21.38
18705.59,1777,209,21.38
18710.66,1835,218,21.38
18715.74,1666,192,20.89
18720.81,1565,177,20.89
18725.88,1618,185,21.38
18730.95,1552,175,20.89
18736.02,1552,175,20.89
18741.09,1460,161,20.89
18746.16,1501,167,20.52
18751.23,1501,167,20.52
18756.31,1430,156,20.52
18761.38,1418,155,20.52
18766.46,1391,150,20.52
18771.53,1378,148,20.89
18776.60,1348,144,20.89
18781.67,1323,140,20.52
18786.74,1307,138,20.52
18791.82,1538,173,20.52
18796.89,1635,188,20.89
18801.96,1538,173,20.52
18807.03,1604,183,20.89
18812.10,1684,195,20.52
18817.17,2216,276,20.52
18822.24,2363,299,20.89
18827.31,1758,206,20.89
18832.38,1584,180,20.89
18837.46,1565,177,20.52
18842.53,1430,156,20.52
18847.60,1418,155,20.52
18852.67,1391,150,20.52
18857.74,1402,152,20.52
18862.81,1584,180,20.52
18867.88,1851,221,20.52
18872.96,1666,192,20.52
18878.03,1501,167,20.52
18883.10,1916,230,20.52
18888.17,1740,204,20.52
18893.24,1723,201,20.89
18898.32,2122,262,20.89
18903.39,2916,383,20.89
18908.46,3515,474,20.89
18913.54,3021,399,20.89
18918.61,2483,317,21.38
18923.68,2514,322,21.38
18928.75,2090,257,21.38
18933.82,1791,211,21.38
18938.89,1666,192,21.38
18943.96,2090,257,21.38
18949.04,1777,209,21.38
18954.11,1618,185,21.38
18959.18,1501,167,21.38
18964.25,1460,161,21.38
18969.32,1402,152,21.38
18974.39,1808,214,21.38
18979.46,2074,255,21.38
18984.54,1835,218,21.38
18989.61,1958,237,21.38
18994.68,2537,325,21.38
18999.75,2834,370,21.75
19004.82,2162,268,21.75
19009.89,1958,237,21.75
19014.96,1758,206,21.38
19020.04,2140,265,21.38
19025.11,2090,257,21.75
19030.18,2537,325,21.75
19035.25,2090,257,21.38
19040.32,1975,239,21.38
19045.39,2000,243,21.38
19050.47,2000,243,21.38
19055.54,2834,370,21.38
19060.61,3552,480,21.38
19065.69,3649,494,21.75
19070.76,2395,303,21.75
19075.83,4102,563,21.75
19080.90,3372,452,21.75
19085.97,4587,637,22.13
19091.05,6386,911,22.13
19096.12,5152,723,22.13
19101.19,5152,723,22.51
19106.26,7454,1074,22.51
19111.33,5907,838,22.89
19116.40,6177,880,22.89
19121.48,4587,637,22.89
19126.55,3128,415,22.89
19131.62,2760,359,22.51
19136.69,3752,510,22.89
19141.76,4166,573,22.51
19146.83,2427,308,22.51
19151.91,2311,291,22.51
19156.98,2628,339,22.51
19162.05,3287,439,22.51
19167.12,2537,325,22.51
19172.19,3200,426,22.51
19177.26,3092,410,22.51
19182.34,3021,399,22.51
19187.41,2216,276,22.51
19192.48,2666,345,22.51
19197.55,2834,370,22.89
19202.63,2483,317,22.51
19207.70,2090,257,22.51
19212.77,2242,280,22.51
19217.85,2162,268,22.51
19222.92,2216,276,22.51
19227.99,2427,308,22.89
19233.06,2864,375,22.51
19238.13,1975,239,22.51
19243.21,1872,224,22.51
19248.28,2022,247,22.51
19253.35,2191,272,22.51
19258.42,2699,350,22.51
19263.49,2799,365,22.51
19268.56,3200,426,22.51
19273.64,2074,255,22.51
19278.71,1975,239,22.51
19283.78,2074,255,22.51
19288.85,2261,283,22.51
19293.93,2122,262,22.51
19299.00,2140,265,22.51
19304.07,2395,303,22.51
19309.14,2242,280,22.51
19314.21,2395,303,22.51
19319.28,2514,322,22.89
19324.36,2571,330,22.89
19329.43,3021,399,22.89
19334.50,2699,350,22.89
19339.57,2514,322,22.89
19344.64,2699,350,22.89
19349.71,2452,312,22.89
19354.79,2724,354,22.89
19359.86,3128,415,22.89
19364.93,2666,345,22.51
19370.01,1975,239,22.89
19375.08,1723,201,22.51
19380.15,1618,185,22.51
19385.22,1538,173,22.51
19390.30,1552,175,22.51
19395.37,1584,180,22.51
19400.44,1791,211,22.51
19405.51,2344,296,22.51
19410.58,1635,188,22.51
19415.65,1565,177,22.13
19420.72,1501,167,22.13
19425.80,1791,211,22.13
19430.87,1808,214,22.13
19435.94,1851,221,22.13
19441.01,1584,180,22.13
19446.08,1552,175,22.13
19451.15,1666,192,22.13
19456.23,1899,228,22.13
19461.30,1584,180,22.13
19466.37,1501,167,22.13
19471.44,1525,171,21.75
19476.51,1565,177,21.75
19481.59,1666,192,22.13
19486.66,1489,165,21.75
19491.73,1584,180,22.13
19496.80,1777,209,22.13
19501.87,2452,312,22.13
19506.95,2162,268,22.13
19512.02,2344,296,22.13
19517.09,2311,291,22.13
19522.16,1706,198,22.13
19527.24,1851,221,22.13
19532.31,3287,439,22.13
19537.38,2760,359,22.13
19542.45,2571,330,22.13
19547.52,2483,317,22.13
19552.60,2344,296,22.13
19557.67,2090,257,22.13
19562.74,2074,255,22.13
19567.81,2571,330,22.13
19572.88,3200,426,22.51
19577.95,3984,546,22.51
19583.03,3803,518,22.51
19588.10,4042,554,22.51
19593.17,4166,573,22.51
19598.24,5383,759,22.51
19603.32,7454,1074,22.89
19608.39,7327,1055,22.89
19613.46,4725,658,23.28
19618.53,4110,565,23.28
19623.60,4997,700,23.28
19628.67,3420,460,23.28
19633.74,3905,533,23.28
19638.82,3296,441,23.28
19643.89,2908,382,23.28
19648.96,3016,398,23.28
19654.03,3420,460,23.28
19659.10,3905,533,23.28
19664.18,2908,382,23.28
19669.25,2402,304,23.28
19674.32,2544,326,23.28
19679.40,2985,393,23.28
19684.47,2457,313,22.89
19689.54,2317,292,23.28
19694.61,1956,237,23.28
19699.69,1982,241,22.89
19704.76,3375,453,23.28
19709.83,3375,453,23.28
19714.90,2544,326,23.28
19719.97,2694,349,23.28
19725.04,3905,533,23.28
19730.12,3992,547,23.28
19735.19,4779,667,23.28
19740.26,3508,473,23.28
19745.33,2985,393,23.28
19750.40,2218,276,23.28
19755.47,2598,334,23.28
19760.55,3705,503,23.28
19765.62,2338,295,23.28
19770.69,2511,321,23.28
19775.76,2511,321,23.28
19780.83,3663,497,23.28
19785.90,3052,404,23.28
